,Frequency
Pre_2867,112.0
Pre_2868,112.0
Pre_1800,112.0
Pre_2602,112.0
Pre_2401,112.0
Pre_2872,112.0
Pre_420,112.0
Pre_990,112.0
Pre_2404,112.0
Pre_2397,112.0
Pre_178,112.0
Pre_682,112.0
Pre_920,112.0
Pre_2408,112.0
Pre_2768,112.0
Pre_725,112.0
Pre_1177,112.0
Pre_1977,112.0
Pre_470,112.0
Pre_522,112.0
Pre_2385,112.0
Pre_1119,112.0
Pre_444,112.0
Pre_2638,112.0
Pre_2512,112.0
Pre_1043,112.0
Pre_2403,113.0
Pre_268,113.0
Pre_135,113.0
Pre_2677,113.0
Pre_2890,113.0
Pre_266,113.0
Pre_440,113.0
Pre_474,113.0
Pre_2815,113.0
Pre_1773,113.0
Pre_1750,113.0
Pre_2417,113.0
Pre_2887,113.0
Pre_2274,113.0
Pre_884,113.0
Pre_2094,113.0
Pre_1358,113.0
Pre_1204,113.0
Pre_883,113.0
Pre_906,113.0
Pre_2348,113.0
Pre_1211,113.0
Pre_82,113.0
Pre_251,113.0
Pre_2265,113.0
Pre_536,113.0
Pre_2090,113.0
Pre_2362,113.0
Pre_1485,113.0
Pre_2230,113.0
Pre_2231,113.0
Pre_1450,113.0
Pre_110,113.0
Pre_1916,113.0
Pre_114,113.0
Pre_325,113.0
Pre_2399,113.0
Pre_2240,113.0
Pre_1439,113.0
Pre_2402,113.0
Pre_1334,113.0
Pre_384,113.0
Pre_1180,113.0
Pre_674,113.0
Pre_1192,113.0
Pre_2198,113.0
Pre_1279,113.0
Pre_2476,113.0
Pre_1550,113.0
Pre_823,113.0
Pre_2225,113.0
Pre_921,114.0
Pre_2140,114.0
Pre_943,114.0
Pre_622,114.0
Pre_1733,114.0
Pre_177,114.0
Pre_2462,114.0
Pre_569,114.0
Pre_2005,114.0
Pre_324,114.0
Pre_2379,114.0
Pre_2496,114.0
Pre_538,114.0
Pre_1682,114.0
Pre_914,114.0
Pre_2210,114.0
Pre_926,114.0
Pre_925,114.0
Pre_521,114.0
Pre_338,114.0
Pre_2327,114.0
Pre_724,114.0
Pre_934,114.0
Pre_2328,114.0
Pre_2513,114.0
Pre_1747,114.0
Pre_2543,114.0
Pre_882,114.0
Pre_1852,114.0
Pre_2171,114.0
Pre_2093,114.0
Pre_2609,114.0
Pre_1893,114.0
Pre_287,114.0
Pre_1833,114.0
Pre_274,114.0
Pre_2589,114.0
Pre_2092,114.0
Pre_695,114.0
Pre_854,114.0
Pre_491,114.0
Pre_905,114.0
Pre_656,114.0
Pre_1783,114.0
Pre_516,114.0
Pre_646,114.0
Pre_2285,114.0
Pre_321,114.0
Pre_2423,114.0
Pre_887,114.0
Pre_502,114.0
Pre_2425,114.0
Pre_2100,114.0
Pre_1913,114.0
Pre_598,114.0
Pre_438,114.0
Pre_2630,114.0
Pre_2521,114.0
Pre_475,114.0
Pre_273,114.0
Pre_2085,114.0
Pre_1115,114.0
Pre_1172,114.0
Pre_1171,114.0
Pre_1318,114.0
Pre_2848,114.0
Pre_1157,114.0
Pre_1156,114.0
Pre_1348,114.0
Pre_61,114.0
Pre_1132,114.0
Pre_1376,114.0
Pre_971,114.0
Pre_1124,114.0
Pre_69,114.0
Pre_1410,114.0
Pre_1412,114.0
Pre_1621,114.0
Pre_2792,114.0
Pre_2785,114.0
Pre_1615,114.0
Pre_2781,114.0
Pre_1608,114.0
Pre_1461,114.0
Pre_2758,114.0
Pre_2734,114.0
Pre_1013,114.0
Pre_2860,114.0
Pre_1175,114.0
Pre_1567,114.0
Pre_1299,114.0
Pre_1268,114.0
Pre_2682,114.0
Pre_951,114.0
Pre_2681,114.0
Pre_1265,114.0
Pre_1182,114.0
Pre_1201,114.0
Pre_1649,114.0
Pre_950,114.0
Pre_953,114.0
Pre_1181,114.0
Pre_1179,114.0
Pre_1178,114.0
Pre_1062,115.0
Pre_721,115.0
Pre_2875,115.0
Pre_2780,115.0
Pre_2287,115.0
Pre_2779,115.0
Pre_1065,115.0
Pre_2778,115.0
Pre_351,115.0
Pre_2014,115.0
Pre_741,115.0
Pre_694,115.0
Pre_743,115.0
Pre_1943,115.0
Pre_1953,115.0
Pre_1830,115.0
Pre_1835,115.0
Pre_275,115.0
Pre_278,115.0
Pre_460,115.0
Pre_2554,115.0
Pre_807,115.0
Pre_1954,115.0
Pre_2536,115.0
Pre_1541,115.0
Pre_1906,115.0
Pre_1026,115.0
Pre_1925,115.0
Pre_1936,115.0
Pre_378,115.0
Pre_1950,115.0
Pre_123,115.0
Pre_2874,115.0
Pre_2055,115.0
Pre_2782,115.0
Pre_493,115.0
Pre_1286,115.0
Pre_2160,115.0
Pre_1287,115.0
Pre_1144,115.0
Pre_2366,115.0
Pre_1343,115.0
Pre_437,115.0
Pre_2195,115.0
Pre_1162,115.0
Pre_429,115.0
Pre_2215,115.0
Pre_2217,115.0
Pre_1311,115.0
Pre_1297,115.0
Pre_1269,115.0
Pre_1085,115.0
Pre_2413,115.0
Pre_417,115.0
Pre_2783,115.0
Pre_2784,115.0
Pre_673,115.0
Pre_1300,115.0
Pre_2056,115.0
Pre_1093,115.0
Pre_391,115.0
Pre_392,115.0
Pre_2278,115.0
Pre_1419,115.0
Pre_80,115.0
Pre_79,115.0
Pre_72,115.0
Pre_1007,115.0
Pre_2810,115.0
Pre_1267,115.0
Pre_2671,115.0
Pre_2777,115.0
Pre_876,115.0
Pre_1753,115.0
Pre_1686,115.0
Pre_2676,115.0
Pre_1617,115.0
Pre_159,115.0
Pre_1805,115.0
Pre_877,115.0
Pre_933,115.0
Pre_2699,115.0
Pre_2705,115.0
Pre_969,115.0
Pre_2703,115.0
Pre_923,115.0
Pre_1579,115.0
Pre_2643,115.0
Pre_1639,115.0
Pre_891,115.0
Pre_1717,115.0
Pre_1779,115.0
Pre_1046,116.0
Pre_533,116.0
Pre_42,116.0
Pre_2182,116.0
Pre_2214,116.0
Pre_1094,116.0
Pre_2537,116.0
Pre_2078,116.0
Pre_2533,116.0
Pre_322,116.0
Pre_416,116.0
Pre_112,116.0
Pre_1405,116.0
Pre_2132,116.0
Pre_419,116.0
Pre_1041,116.0
Pre_221,116.0
Pre_2522,116.0
Pre_1413,116.0
Pre_1134,116.0
Pre_1103,116.0
Pre_2149,116.0
Pre_875,116.0
Pre_605,116.0
Pre_2405,116.0
Pre_1377,116.0
Pre_1865,116.0
Pre_972,116.0
Pre_650,116.0
Pre_145,116.0
Pre_2776,116.0
Pre_1834,116.0
Pre_1209,116.0
Pre_2771,116.0
Pre_1837,116.0
Pre_2284,116.0
Pre_454,116.0
Pre_1680,116.0
Pre_1244,116.0
Pre_982,116.0
Pre_2334,116.0
Pre_489,116.0
Pre_842,116.0
Pre_2889,116.0
Pre_2333,116.0
Pre_1847,116.0
Pre_1190,116.0
Pre_2664,116.0
Pre_2023,116.0
Pre_2683,116.0
Pre_2040,116.0
Pre_1236,116.0
Pre_181,116.0
Pre_1174,116.0
Pre_2555,116.0
Pre_1821,116.0
Pre_452,116.0
Pre_1400,117.0
Pre_97,117.0
Pre_1604,117.0
Pre_1074,117.0
Pre_978,117.0
Pre_2793,117.0
Pre_1003,117.0
Pre_904,117.0
Pre_385,117.0
Pre_1096,117.0
Pre_1077,117.0
Pre_688,117.0
Pre_2042,117.0
Pre_2798,117.0
Pre_1768,117.0
Pre_1727,117.0
Pre_2418,117.0
Pre_1645,117.0
Pre_1705,117.0
Pre_1703,117.0
Pre_1183,117.0
Pre_2241,117.0
Pre_436,117.0
Pre_1693,117.0
Pre_2358,117.0
Pre_1266,117.0
Pre_168,117.0
Pre_26,117.0
Pre_1213,117.0
Pre_1214,117.0
Pre_467,117.0
Pre_453,117.0
Pre_464,117.0
Pre_2330,117.0
Pre_1712,117.0
Pre_2421,117.0
Pre_1312,117.0
Pre_2207,117.0
Pre_2410,117.0
Pre_217,117.0
Pre_66,117.0
Pre_1630,117.0
Pre_1367,117.0
Pre_2152,117.0
Pre_607,117.0
Pre_1633,117.0
Pre_600,117.0
Pre_2489,117.0
Pre_44,117.0
Pre_2172,117.0
Pre_2173,117.0
Pre_1634,117.0
Pre_593,117.0
Pre_1635,117.0
Pre_915,117.0
Pre_432,117.0
Pre_98,117.0
Pre_1428,117.0
Pre_333,117.0
Pre_747,117.0
Pre_1557,117.0
Pre_122,117.0
Pre_750,117.0
Pre_2564,117.0
Pre_290,117.0
Pre_755,117.0
Pre_2553,117.0
Pre_1047,117.0
Pre_864,117.0
Pre_1554,117.0
Pre_1542,117.0
Pre_250,117.0
Pre_816,117.0
Pre_1948,117.0
Pre_2505,117.0
Pre_1021,117.0
Pre_2739,117.0
Pre_1582,117.0
Pre_1558,117.0
Pre_1846,117.0
Pre_288,117.0
Pre_2501,117.0
Pre_103,117.0
Pre_1592,117.0
Pre_2755,117.0
Pre_1587,117.0
Pre_846,117.0
Pre_1938,117.0
Pre_111,117.0
Pre_857,117.0
Pre_2583,117.0
Pre_323,117.0
Pre_1967,117.0
Pre_1025,117.0
Pre_1845,117.0
Pre_909,118.0
Pre_1136,118.0
Pre_2531,118.0
Pre_796,118.0
Pre_2823,118.0
Pre_1391,118.0
Pre_2614,118.0
Pre_974,118.0
Pre_1487,118.0
Pre_2520,118.0
Pre_1624,118.0
Pre_1107,118.0
Pre_643,118.0
Pre_68,118.0
Pre_644,118.0
Pre_1513,118.0
Pre_67,118.0
Pre_1737,118.0
Pre_304,118.0
Pre_186,118.0
Pre_596,118.0
Pre_1200,118.0
Pre_2357,118.0
Pre_2579,118.0
Pre_443,118.0
Pre_2718,118.0
Pre_2286,118.0
Pre_2871,118.0
Pre_1212,118.0
Pre_843,118.0
Pre_1215,118.0
Pre_945,118.0
Pre_2332,118.0
Pre_2316,118.0
Pre_17,118.0
Pre_1829,118.0
Pre_488,118.0
Pre_2365,118.0
Pre_929,118.0
Pre_806,118.0
Pre_1342,118.0
Pre_916,118.0
Pre_917,118.0
Pre_421,118.0
Pre_1637,118.0
Pre_2390,118.0
Pre_2857,118.0
Pre_1315,118.0
Pre_2216,118.0
Pre_2220,118.0
Pre_293,118.0
Pre_1580,118.0
Pre_180,118.0
Pre_2245,118.0
Pre_2174,118.0
Pre_2084,118.0
Pre_616,118.0
Pre_1045,118.0
Pre_2017,118.0
Pre_149,118.0
Pre_879,118.0
Pre_339,118.0
Pre_1095,118.0
Pre_92,118.0
Pre_99,118.0
Pre_715,118.0
Pre_340,118.0
Pre_1996,118.0
Pre_1092,118.0
Pre_742,118.0
Pre_2772,118.0
Pre_2773,118.0
Pre_894,118.0
Pre_1086,118.0
Pre_677,118.0
Pre_2050,118.0
Pre_1087,118.0
Pre_1939,118.0
Pre_2484,118.0
Pre_345,118.0
Pre_2034,118.0
Pre_902,118.0
Pre_337,118.0
Pre_1479,118.0
Pre_379,118.0
Pre_683,118.0
Pre_1080,118.0
Pre_1100,118.0
Pre_2791,118.0
Pre_377,119.0
Pre_1854,119.0
Pre_1853,119.0
Pre_185,119.0
Pre_2021,119.0
Pre_1184,119.0
Pre_2011,119.0
Pre_2247,119.0
Pre_1596,119.0
Pre_815,119.0
Pre_2367,119.0
Pre_128,119.0
Pre_980,119.0
Pre_1313,119.0
Pre_984,119.0
Pre_2026,119.0
Pre_1552,119.0
Pre_129,119.0
Pre_2684,119.0
Pre_2016,119.0
Pre_2561,119.0
Pre_1647,119.0
Pre_1664,119.0
Pre_2024,119.0
Pre_1710,119.0
Pre_2556,119.0
Pre_968,119.0
Pre_1778,119.0
Pre_981,119.0
Pre_2374,119.0
Pre_966,119.0
Pre_1420,119.0
Pre_1071,119.0
Pre_1985,119.0
Pre_131,119.0
Pre_133,119.0
Pre_1786,119.0
Pre_729,119.0
Pre_2304,119.0
Pre_850,119.0
Pre_2307,119.0
Pre_2308,119.0
Pre_848,119.0
Pre_1061,119.0
Pre_272,119.0
Pre_1241,119.0
Pre_1219,119.0
Pre_455,119.0
Pre_1818,119.0
Pre_1978,119.0
Pre_134,119.0
Pre_1832,119.0
Pre_19,119.0
Pre_130,119.0
Pre_1559,119.0
Pre_1283,119.0
Pre_2866,119.0
Pre_1690,119.0
Pre_2361,119.0
Pre_2029,119.0
Pre_1469,119.0
Pre_1070,119.0
Pre_2364,119.0
Pre_932,119.0
Pre_2580,119.0
Pre_1574,119.0
Pre_162,119.0
Pre_1560,119.0
Pre_1675,119.0
Pre_716,119.0
Pre_1970,119.0
Pre_2493,119.0
Pre_280,119.0
Pre_1197,119.0
Pre_294,119.0
Pre_2389,119.0
Pre_109,119.0
Pre_1736,119.0
Pre_670,119.0
Pre_671,119.0
Pre_2414,119.0
Pre_2688,119.0
Pre_2412,119.0
Pre_2411,119.0
Pre_2747,119.0
Pre_1942,119.0
Pre_2133,119.0
Pre_2500,119.0
Pre_784,119.0
Pre_253,119.0
Pre_1730,119.0
Pre_2139,119.0
Pre_425,119.0
Pre_63,119.0
Pre_675,119.0
Pre_767,119.0
Pre_2694,119.0
Pre_1118,119.0
Pre_1517,119.0
Pre_396,119.0
Pre_2082,119.0
Pre_2077,119.0
Pre_2431,119.0
Pre_2430,119.0
Pre_2795,119.0
Pre_660,119.0
Pre_1932,119.0
Pre_2091,119.0
Pre_1366,119.0
Pre_1098,119.0
Pre_770,119.0
Pre_400,119.0
Pre_907,119.0
Pre_2427,119.0
Pre_78,119.0
Pre_2101,119.0
Pre_2102,119.0
Pre_108,119.0
Pre_1097,119.0
Pre_868,119.0
Pre_1365,119.0
Pre_1817,119.0
Pre_2706,119.0
Pre_1141,119.0
Pre_801,119.0
Pre_2169,119.0
Pre_423,119.0
Pre_1158,119.0
Pre_2549,119.0
Pre_1154,119.0
Pre_422,119.0
Pre_2041,119.0
Pre_890,119.0
Pre_681,119.0
Pre_1877,119.0
Pre_1082,119.0
Pre_1882,119.0
Pre_2170,119.0
Pre_1135,119.0
Pre_2833,119.0
Pre_599,119.0
Pre_1545,119.0
Pre_691,119.0
Pre_1360,119.0
Pre_571,119.0
Pre_1361,119.0
Pre_678,119.0
Pre_62,119.0
Pre_996,119.0
Pre_2199,119.0
Pre_1363,119.0
Pre_1362,119.0
Pre_100,120.0
Pre_427,120.0
Pre_2854,120.0
Pre_2590,120.0
Pre_2846,120.0
Pre_2658,120.0
Pre_2689,120.0
Pre_2570,120.0
Pre_314,120.0
Pre_73,120.0
Pre_2862,120.0
Pre_2529,120.0
Pre_319,120.0
Pre_101,120.0
Pre_328,120.0
Pre_2373,120.0
Pre_2574,120.0
Pre_327,120.0
Pre_326,120.0
Pre_2376,120.0
Pre_136,120.0
Pre_170,120.0
Pre_2378,120.0
Pre_445,120.0
Pre_2343,120.0
Pre_126,120.0
Pre_291,120.0
Pre_2526,120.0
Pre_1442,120.0
Pre_794,120.0
Pre_1810,120.0
Pre_1064,120.0
Pre_1072,120.0
Pre_1644,120.0
Pre_955,120.0
Pre_1075,120.0
Pre_2200,120.0
Pre_508,120.0
Pre_1399,120.0
Pre_2227,120.0
Pre_700,120.0
Pre_1665,120.0
Pre_641,120.0
Pre_898,120.0
Pre_1436,120.0
Pre_532,120.0
Pre_1421,120.0
Pre_1719,120.0
Pre_1706,120.0
Pre_918,120.0
Pre_1784,120.0
Pre_2276,120.0
Pre_998,120.0
Pre_1924,120.0
Pre_627,120.0
Pre_626,120.0
Pre_781,120.0
Pre_780,120.0
Pre_1275,120.0
Pre_1883,120.0
Pre_1565,120.0
Pre_1923,120.0
Pre_472,120.0
Pre_1863,120.0
Pre_1714,120.0
Pre_2099,120.0
Pre_2298,120.0
Pre_1842,120.0
Pre_2113,121.0
Pre_662,121.0
Pre_2713,121.0
Pre_1578,121.0
Pre_148,121.0
Pre_356,121.0
Pre_2532,121.0
Pre_415,121.0
Pre_2086,121.0
Pre_414,121.0
Pre_970,121.0
Pre_2088,121.0
Pre_169,121.0
Pre_161,121.0
Pre_413,121.0
Pre_2081,121.0
Pre_2634,121.0
Pre_1718,121.0
Pre_2525,121.0
Pre_2524,121.0
Pre_802,121.0
Pre_1915,121.0
Pre_1917,121.0
Pre_1921,121.0
Pre_299,121.0
Pre_1862,121.0
Pre_2503,121.0
Pre_831,121.0
Pre_764,121.0
Pre_1951,121.0
Pre_1841,121.0
Pre_1840,121.0
Pre_2657,121.0
Pre_1971,121.0
Pre_2491,121.0
Pre_732,121.0
Pre_862,121.0
Pre_863,121.0
Pre_2612,121.0
Pre_1992,121.0
Pre_254,121.0
Pre_2479,121.0
Pre_249,121.0
Pre_344,121.0
Pre_237,121.0
Pre_1739,121.0
Pre_911,121.0
Pre_208,121.0
Pre_1839,121.0
Pre_2416,121.0
Pre_642,121.0
Pre_634,121.0
Pre_1088,121.0
Pre_442,121.0
Pre_91,121.0
Pre_433,121.0
Pre_89,121.0
Pre_2228,121.0
Pre_88,121.0
Pre_1185,121.0
Pre_512,121.0
Pre_84,121.0
Pre_83,121.0
Pre_434,121.0
Pre_2310,121.0
Pre_1403,121.0
Pre_2804,121.0
Pre_74,121.0
Pre_1130,121.0
Pre_446,121.0
Pre_2843,121.0
Pre_60,121.0
Pre_2359,121.0
Pre_59,121.0
Pre_1143,121.0
Pre_471,121.0
Pre_2832,121.0
Pre_2841,121.0
Pre_1402,121.0
Pre_548,121.0
Pre_540,121.0
Pre_1333,121.0
Pre_1040,121.0
Pre_1247,121.0
Pre_1511,121.0
Pre_113,121.0
Pre_2391,121.0
Pre_30,121.0
Pre_1023,121.0
Pre_2765,121.0
Pre_1480,121.0
Pre_2134,121.0
Pre_1534,121.0
Pre_1533,121.0
Pre_1063,121.0
Pre_2329,121.0
Pre_1019,121.0
Pre_1194,121.0
Pre_633,121.0
Pre_2190,121.0
Pre_424,121.0
Pre_2331,121.0
Pre_1478,121.0
Pre_315,122.0
Pre_1216,122.0
Pre_1237,122.0
Pre_2842,122.0
Pre_1880,122.0
Pre_1858,122.0
Pre_40,122.0
Pre_39,122.0
Pre_38,122.0
Pre_803,122.0
Pre_37,122.0
Pre_1170,122.0
Pre_1885,122.0
Pre_313,122.0
Pre_1864,122.0
Pre_33,122.0
Pre_1844,122.0
Pre_1248,122.0
Pre_895,122.0
Pre_2592,122.0
Pre_1018,122.0
Pre_1551,122.0
Pre_1562,122.0
Pre_1002,122.0
Pre_1044,122.0
Pre_102,122.0
Pre_1059,122.0
Pre_1595,122.0
Pre_975,122.0
Pre_158,122.0
Pre_1620,122.0
Pre_1648,122.0
Pre_956,122.0
Pre_43,122.0
Pre_952,122.0
Pre_1691,122.0
Pre_1432,122.0
Pre_913,122.0
Pre_206,122.0
Pre_901,122.0
Pre_125,122.0
Pre_2808,122.0
Pre_1788,122.0
Pre_1128,122.0
Pre_1368,122.0
Pre_263,122.0
Pre_2828,122.0
Pre_861,122.0
Pre_1454,122.0
Pre_2315,122.0
Pre_853,122.0
Pre_2527,122.0
Pre_766,122.0
Pre_523,122.0
Pre_524,122.0
Pre_1945,122.0
Pre_758,122.0
Pre_632,122.0
Pre_2415,122.0
Pre_2105,122.0
Pre_503,122.0
Pre_2488,122.0
Pre_2070,122.0
Pre_2528,122.0
Pre_664,122.0
Pre_2058,122.0
Pre_2035,122.0
Pre_355,122.0
Pre_2020,122.0
Pre_2012,122.0
Pre_2104,122.0
Pre_485,122.0
Pre_693,122.0
Pre_2296,122.0
Pre_2322,122.0
Pre_320,122.0
Pre_2312,122.0
Pre_456,122.0
Pre_1903,122.0
Pre_2305,122.0
Pre_2299,122.0
Pre_2337,122.0
Pre_786,122.0
Pre_2275,122.0
Pre_1728,123.0
Pre_389,123.0
Pre_1616,123.0
Pre_2318,123.0
Pre_2752,123.0
Pre_1472,123.0
Pre_137,123.0
Pre_734,123.0
Pre_2617,123.0
Pre_1535,123.0
Pre_2774,123.0
Pre_1210,123.0
Pre_710,123.0
Pre_1930,123.0
Pre_1359,123.0
Pre_41,123.0
Pre_1433,123.0
Pre_511,123.0
Pre_1571,123.0
Pre_2469,123.0
Pre_1715,124.0
Pre_1208,124.0
Pre_1698,124.0
Pre_25,124.0
Pre_376,124.0
Pre_1591,124.0
Pre_24,124.0
Pre_2678,124.0
Pre_2695,124.0
Pre_2680,124.0
Pre_381,124.0
Pre_1589,124.0
Pre_399,124.0
Pre_2270,124.0
Pre_2097,124.0
Pre_2355,124.0
Pre_2834,124.0
Pre_1393,124.0
Pre_2812,124.0
Pre_2250,124.0
Pre_2836,124.0
Pre_2249,124.0
Pre_2248,124.0
Pre_2375,124.0
Pre_1090,124.0
Pre_543,124.0
Pre_1076,124.0
Pre_1466,124.0
Pre_2166,124.0
Pre_597,124.0
Pre_1510,124.0
Pre_2164,124.0
Pre_1527,124.0
Pre_124,124.0
Pre_1306,124.0
Pre_2356,124.0
Pre_1547,124.0
Pre_1553,124.0
Pre_1233,124.0
Pre_1054,124.0
Pre_1583,124.0
Pre_1734,124.0
Pre_1801,124.0
Pre_1919,124.0
Pre_2534,124.0
Pre_785,124.0
Pre_1859,124.0
Pre_2006,124.0
Pre_1993,124.0
Pre_2611,124.0
Pre_1843,124.0
Pre_1897,124.0
Pre_2530,124.0
Pre_2573,124.0
Pre_1819,124.0
Pre_836,124.0
Pre_1857,124.0
Pre_1474,125.0
Pre_2335,125.0
Pre_1073,125.0
Pre_35,125.0
Pre_1732,125.0
Pre_547,125.0
Pre_582,125.0
Pre_2185,125.0
Pre_2575,125.0
Pre_1483,125.0
Pre_1089,125.0
Pre_1537,125.0
Pre_2748,125.0
Pre_1823,125.0
Pre_608,125.0
Pre_2157,125.0
Pre_2861,125.0
Pre_2588,125.0
Pre_2183,125.0
Pre_2158,125.0
Pre_1836,125.0
Pre_739,125.0
Pre_748,125.0
Pre_1499,125.0
Pre_1049,125.0
Pre_584,125.0
Pre_1309,125.0
Pre_844,125.0
Pre_835,125.0
Pre_2544,125.0
Pre_1324,125.0
Pre_292,125.0
Pre_70,125.0
Pre_2292,125.0
Pre_2349,125.0
Pre_2817,125.0
Pre_1382,125.0
Pre_2279,125.0
Pre_2547,125.0
Pre_2261,125.0
Pre_1364,125.0
Pre_1353,125.0
Pre_476,125.0
Pre_2509,125.0
Pre_811,125.0
Pre_2831,125.0
Pre_2811,125.0
Pre_1116,125.0
Pre_71,125.0
Pre_507,125.0
Pre_1920,125.0
Pre_624,125.0
Pre_2568,125.0
Pre_2567,125.0
Pre_300,125.0
Pre_1422,125.0
Pre_832,125.0
Pre_537,125.0
Pre_1855,125.0
Pre_1404,125.0
Pre_435,125.0
Pre_2246,125.0
Pre_1401,125.0
Pre_1331,125.0
Pre_2546,125.0
Pre_2294,125.0
Pre_2372,125.0
Pre_625,125.0
Pre_1020,125.0
Pre_1884,125.0
Pre_390,125.0
Pre_1796,125.0
Pre_1789,125.0
Pre_1539,125.0
Pre_1202,125.0
Pre_1997,125.0
Pre_2043,125.0
Pre_1785,125.0
Pre_687,125.0
Pre_2028,125.0
Pre_2674,125.0
Pre_2883,125.0
Pre_1896,125.0
Pre_949,125.0
Pre_348,125.0
Pre_364,125.0
Pre_940,125.0
Pre_352,125.0
Pre_209,125.0
Pre_900,125.0
Pre_207,125.0
Pre_692,125.0
Pre_2457,125.0
Pre_1618,125.0
Pre_2025,125.0
Pre_2454,125.0
Pre_2635,125.0
Pre_2453,125.0
Pre_2314,125.0
Pre_2666,125.0
Pre_20,125.0
Pre_2468,125.0
Pre_1270,125.0
Pre_1625,125.0
Pre_1612,125.0
Pre_1199,125.0
Pre_2485,125.0
Pre_1572,125.0
Pre_2311,125.0
Pre_1006,125.0
Pre_2603,125.0
Pre_2601,125.0
Pre_2610,125.0
Pre_2731,125.0
Pre_2114,125.0
Pre_1014,125.0
Pre_1193,125.0
Pre_860,125.0
Pre_2309,125.0
Pre_847,125.0
Pre_810,125.0
Pre_2599,125.0
Pre_2714,125.0
Pre_1147,125.0
Pre_2613,125.0
Pre_1611,125.0
Pre_138,125.0
Pre_714,125.0
Pre_1610,125.0
Pre_143,125.0
Pre_1986,125.0
Pre_986,125.0
Pre_2336,126.0
Pre_2313,126.0
Pre_2835,126.0
Pre_778,126.0
Pre_2510,126.0
Pre_1235,126.0
Pre_1196,126.0
Pre_1205,126.0
Pre_779,126.0
Pre_2324,126.0
Pre_1327,126.0
Pre_2877,126.0
Pre_2881,126.0
Pre_1277,126.0
Pre_2891,126.0
Pre_1195,126.0
Pre_581,126.0
Pre_1929,126.0
Pre_987,126.0
Pre_2069,126.0
Pre_2067,126.0
Pre_2618,126.0
Pre_866,126.0
Pre_1628,126.0
Pre_963,126.0
Pre_961,126.0
Pre_957,126.0
Pre_2679,126.0
Pre_1782,126.0
Pre_2008,126.0
Pre_954,126.0
Pre_2027,126.0
Pre_936,126.0
Pre_935,126.0
Pre_930,126.0
Pre_2455,126.0
Pre_2458,126.0
Pre_899,126.0
Pre_354,126.0
Pre_993,126.0
Pre_1001,126.0
Pre_1984,126.0
Pre_2116,126.0
Pre_2502,126.0
Pre_1860,126.0
Pre_504,126.0
Pre_1392,126.0
Pre_2814,126.0
Pre_1398,126.0
Pre_2560,126.0
Pre_1856,126.0
Pre_1106,126.0
Pre_295,126.0
Pre_1423,126.0
Pre_2380,126.0
Pre_2569,126.0
Pre_281,126.0
Pre_2196,126.0
Pre_583,126.0
Pre_757,126.0
Pre_845,126.0
Pre_1022,126.0
Pre_737,126.0
Pre_2377,126.0
Pre_1234,126.0
Pre_2847,127.0
Pre_574,127.0
