AMY1A,P0DUB6,PPARGC1A,Q9UBK2
AMY1B,P0DTE7,PPP1R3A,Q16821
AMY1C,P0DTE8,PRKCB,P05771
AMY2A,P04746,PROX1,Q92786
ANGPT1,Q15389,PSMD6,Q15008
ANGPT2,O15123,PTPN1,P18031
ANGPTL2,Q9UKU9,RELA,Q04206
ANGPTL3,Q9Y5C1,RETN,Q9HD89
ANGPTL4,Q9BY76,RNF6,Q9Y252
ANGPTL5,Q86XS5,S100A6,P06703
ANGPTL6,Q8NI99,SCTR,P47872
ANGPTL8,Q6UXH0,SFRP4,Q6FHJ7
ANK1,P16157,SHBG,P04278
ANK2,Q01484,SIRT1,Q96EB6
ANKFY1,Q9P2R3,SLC1A2,P43004
ANKH,Q9HCJ1,SLC22A3,O75751
ANKK1,Q8NFD2,SLC2A1,P11166
ANKRD23,Q86SG2,SLC2A2,P11168
ANKRD55,Q3KP44,SLC2A4,P14672
ANPEP,P15144,SLC30A8,Q8IWU4
ANXA1,P04083,SMAD5,Q99717
ANXA5,P08758,SNAP25,P60880
ANXA6,P08133,SOD1,P00441
AOC2,O75106,SOD2,P04179
AOC3,Q16853,ST6GAL1,P15907
AP3S1,Q92572,TBC1D4,O60343
AP3S2,P59780,TCF7L2,Q9NQB0
APCS,P02743,TGFB1,P01137
API5,Q9BZZ5,THADA,Q6YHU6
APLN,Q9ULZ1,TIMP1,P01033
APLNR,P35414,TMEM155,Q4W5P6
APOA1,P02647,TMEM18,Q96B42
APOA2,P02652,TNF,P01375
APOA4,P06727,TNFRSF1A,P19438
APOA5,Q6Q788,TNFRSF1B,P20333
APOB,P04114,UBE2E2,Q96LR5
APOC2,P02655,UCP2,P55851
APOC3,P02656,USP48,Q86UV5
APOC4,P55056,VPS26A,O75436
APOD,P05090,WFS1,O76024
APOE,P02649,ZC3HC1,Q86WB0
APOH,P02749,ZFAND3,Q9H8U3
APOL1,O14791,ZNF257,Q9Y2Q1
APOM,O95445,,
APP,P05067,,
APPL1,Q9UKG1,,
APPL2,Q06481,,
APPL2,Q8NEU8,,
APRT,P07741,,
AQP11,Q8NBQ7,,
AQP2,P41181,,
AQP5,P55064,,
"AQP7,AQP9",O14520,,
AQP9,O43315,,
AQR,O60306,,
AR,P10275,,
ARAP1,Q96P48,,
ARC,Q7LC44,,
ARG1,P05089,,
ARHGAP15,Q53QZ3,,
ARHGAP22,Q7Z5H3,,
ARHGEF11,O15085,,
ARHGEF12,Q9NZN5,,
ARHGEF18,Q6ZSZ5,,
ARID1B,Q8NFD5,,
ARID2,Q68CP9,,
ARID3A,Q99856,,
ARID4B,Q4LE39,,
ARID5B,Q14865,,
ARIH1,Q9Y4X5,,
ARL15,Q9NXU5,,
ARL2BP,Q9Y2Y0,,
ARL3,P36405,,
ARL6,Q9H0F7,,
ARL9,Q6T311,,
ARNT,P27540,,
ARNTL,O00327,,
ARNTL2,Q8WYA1,,
ARR3,P36575,,
ARRB2,P32121,,
ARSA,O43681,,
ARSA,P15289,,
ARSL,P51690,,
ARX,Q96QS3,,
ASAH2,Q9NR71,,
ASB3,Q9Y575,,
ASCC2,Q9H1I8,,
ASCL2,Q99929,,
ASIP,P42127,,
ASRGL1,Q7L266,,
ATF3,P18847,,
ATF6,P18850,,
ATF7IP,Q6VMQ6,,
ATG5,Q9H1Y0,,
ATG7,O95352,,
ATIC,P31939,,
ATM,Q13315,,
ATN1,P54259,,
ATP10A,O60312,,
ATP12A,P54707,,
ATP2A1,O14983,,
ATP2A2,P16615,,
ATP2A3,Q93084,,
ATP2B1,P20020,,
ATP4A,P20648,,
ATP5F1B,P06576,,
